"#","ML#","Type","","Curr Price","Status","Address","Subd/Complex","Area","City","County","Total Bedrooms","Total Full Baths","Total Half Baths","Year Built","Photo Count","List Date","Expiration Date","Closing Date"
"1","5790352","DET","","$669,900","A","2090 Lake Windward Drive","WINDWARD","14","Alpharetta","Fulton","5","4","1","2001","40","01/07/2017","",""
"1","5790274","DET","","$669,000","A","2055 Cooper Lake Drive Lot 1","Boxwood At Vinings","72","Smyrna","Cobb","3","3","1","2017","2","01/06/2017","",""
"1","5790275","DET","","$669,000","A","2055 Cooper Lake Drive Lot 2","Boxwood At Vinings","72","Smyrna","Cobb","3","3","1","2017","2","01/06/2017","",""
"1","5790384","DET","","$665,000","A","130 Stoney Ridge Drive","The Ridge","14","Johns Creek","Fulton","5","4","1","1993","0","01/07/2017","",""
"1","5790276","DET","","$664,900","A","2055 Cooper Lake Drive Lot 3","Boxwood At Vinings","72","Smyrna","Cobb","3","3","1","2017","2","01/06/2017","",""
"1","5789352","DET","","$650,000","A","7945 Saddleridge Drive","Saddleridge","121","Sandy Springs","Fulton","4","3","1","1974","25","01/07/2017","",""
"1","5790178","DET","","$650,000","A","505 Riverhill Drive","River Shore Estates","132","Sandy Springs","Fulton","4","3","1","1973","0","01/06/2017","",""
"1","5790186","DET","","$649,900","A","2001 Watauga Drive","Ahaluna Heights","261","Gainesville","Hall","3","3","1","1987","34","01/06/2017","",""
"1","5789397","DET","","$649,000","A","915 Manchester Place","Manchester Place","131","Atlanta","Fulton","4","3","1","1985","40","01/06/2017","",""
"1","5790330","DET","","$639,900","A","5740 Jockey Walk","Bridleton","221","Suwanee","Forsyth","5","4","0","2015","28","01/06/2017","",""
"1","5789972","DET","","$629,000","A","5280 COLE CREEK Lane","VICKERY SPRINGS","222","Cumming","Forsyth","7","5","0","2016","27","01/06/2017","",""
"1","5790091","DET","","$629,000","A","310 Chason Wood Way","Horseshoe Bend","14","Roswell","Fulton","6","5","1","1994","35","01/06/2017","",""
"1","5790136","DET","","$625,000","A","5940 Boulder Bluff Drive","Cool Springs","223","Cumming","Forsyth","6","5","0","2006","33","01/06/2017","",""
"1","5789973","DET","","$619,900","A","3301 Perrington Pointe","Northampton","81","Marietta","Cobb","5","4","1","1999","38","01/06/2017","",""
"1","5790099","DET","","$600,000","A","1836 Westminster Way NE","Emory Grove","52","Atlanta","Dekalb","3","3","0","1946","21","01/06/2017","",""
